name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.	conc.
190	17621	752950	0.1941E-01	0.2138E+00	0.3153E+00	0.5291E+00	0.5451E-02	0.1090E-02
190	16337	749049	0.1951E-01	0.2158E+00	0.3142E+00	0.5300E+00	0.5496E-02	0.1099E-02
191	17612	701776	0.2366E-01	0.2726E+00	0.3510E+00	0.6236E+00	0.6864E-02	0.1373E-02
191	17625	697887	0.2415E-01	0.2791E+00	0.3553E+00	0.6344E+00	0.7010E-02	0.1402E-02
191	17586	692888	0.2464E-01	0.2865E+00	0.3583E+00	0.6448E+00	0.7195E-02	0.1439E-02
191	17538	687890	0.2523E-01	0.2949E+00	0.3638E+00	0.6587E+00	0.7393E-02	0.1479E-02
191	17481	682893	0.2586E-01	0.3041E+00	0.3699E+00	0.6740E+00	0.7613E-02	0.1523E-02
191	17424	677894	0.2630E-01	0.3116E+00	0.3726E+00	0.6841E+00	0.7788E-02	0.1558E-02
191	17369	672897	0.2716E-01	0.2859E+00	0.3784E+00	0.6643E+00	0.8063E-02	0.1613E-02
191	17309	667900	0.2754E-01	0.2899E+00	0.3818E+00	0.6717E+00	0.8099E-02	0.1620E-02
191	17245	662902	0.2826E-01	0.2975E+00	0.3853E+00	0.6828E+00	0.8252E-02	0.1650E-02
191	17180	657902	0.2892E-01	0.3062E+00	0.3901E+00	0.6963E+00	0.8476E-02	0.1695E-02
191	17257	654361	0.2896E-01	0.3081E+00	0.3926E+00	0.7006E+00	0.8433E-02	0.1687E-02
162	19208	410811	0.1657E+00	0.1276E+01	0.7171E+00	0.1993E+01	0.2309E-01	0.1250E-01
162	18195	407429	0.1670E+00	0.1290E+01	0.7226E+00	0.2013E+01	0.2377E-01	0.1313E-01
162	17677	402887	0.1650E+00	0.1280E+01	0.7398E+00	0.2020E+01	0.2410E-01	0.1377E-01
162	17675	397888	0.1669E+00	0.1286E+01	0.7891E+00	0.2075E+01	0.2555E-01	0.1526E-01
159	17107	392827	0.1662E+00	0.1282E+01	0.8119E+00	0.2094E+01	0.2638E-01	0.1638E-01
162	17677	395108	0.1668E+00	0.1288E+01	0.7950E+00	0.2083E+01	0.2607E-01	0.1583E-01
169	19331	392307	0.1696E+00	0.1295E+01	0.8449E+00	0.2140E+01	0.2632E-01	0.1657E-01
159	16397	388266	0.1628E+00	0.1264E+01	0.7924E+00	0.2057E+01	0.2650E-01	0.1672E-01
169	18544	387630	0.1666E+00	0.1279E+01	0.8355E+00	0.2115E+01	0.2684E-01	0.1717E-01
159	15584	383578	0.1664E+00	0.1296E+01	0.9460E+00	0.2242E+01	0.2837E-01	0.1845E-01
169	17869	382823	0.1707E+00	0.1318E+01	0.1026E+01	0.2344E+01	0.2872E-01	0.1880E-01
169	17475	379724	0.1712E+00	0.1929E+01	0.1077E+01	0.3006E+01	0.2877E-01	0.1919E-01
188	15028	377977	0.1675E+00	0.2584E+01	0.9750E+00	0.3559E+01	0.2937E-01	0.2053E-01
190	22365	834942	0.1463E-01	0.1579E+00	0.2605E+00	0.4184E+00	0.4314E-02	0.8628E-03
190	22007	830387	0.1480E-01	0.1587E+00	0.2671E+00	0.4258E+00	0.4228E-02	0.8456E-03
