name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.
190	31961	843490	0.1177E-08	0.2405E-04	0.3026E-03	0.3266E-03	0.2081E-05
190	30742	840276	0.1256E-08	0.2450E-04	0.3079E-03	0.3324E-03	0.2116E-05
190	30667	835387	0.1429E-08	0.2524E-04	0.3164E-03	0.3417E-03	0.2172E-05
190	30667	830387	0.1636E-08	0.2599E-04	0.3254E-03	0.3514E-03	0.2221E-05
190	30667	825387	0.1935E-08	0.2677E-04	0.3360E-03	0.3627E-03	0.2273E-05
190	30667	820387	0.2310E-08	0.2750E-04	0.3456E-03	0.3731E-03	0.2322E-05
190	30667	815387	0.2582E-08	0.2842E-04	0.3561E-03	0.3845E-03	0.2378E-05
190	30667	810387	0.2891E-08	0.2924E-04	0.3673E-03	0.3966E-03	0.2434E-05
190	30667	805387	0.3657E-08	0.2944E-04	0.3712E-03	0.4007E-03	0.2455E-05
190	30667	800387	0.4125E-08	0.3029E-04	0.3808E-03	0.4111E-03	0.2516E-05
190	30667	795387	0.4830E-08	0.3112E-04	0.3931E-03	0.4243E-03	0.2566E-05
190	30667	790387	0.5464E-08	0.3201E-04	0.4051E-03	0.4371E-03	0.2620E-05
190	30667	785387	0.6217E-08	0.3293E-04	0.4175E-03	0.4504E-03	0.2673E-05
190	30667	780387	0.7014E-08	0.3398E-04	0.4310E-03	0.4650E-03	0.2729E-05
190	30667	775387	0.7655E-08	0.3361E-04	0.4482E-03	0.4818E-03	0.2562E-05
