name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190             9017  747887  0.8449E-05  0.9094E-04  0.1191E-03  0.2100E-03  0.2527E-05  0.5055E-06
190             8836  743046  0.8620E-05  0.9270E-04  0.1194E-03  0.2121E-03  0.2570E-05  0.5139E-06
190             7490  739197  0.8719E-05  0.9391E-04  0.1191E-03  0.2130E-03  0.2600E-05  0.5199E-06
191             8982  701934  0.1084E-04  0.1165E-03  0.1284E-03  0.2449E-03  0.3141E-05  0.6281E-06
191             9017  697887  0.1112E-04  0.1196E-03  0.1292E-03  0.2489E-03  0.3214E-05  0.6428E-06
191             9017  692887  0.1149E-04  0.1237E-03  0.1303E-03  0.2541E-03  0.3310E-05  0.6620E-06
191             9017  687887  0.1187E-04  0.1279E-03  0.1314E-03  0.2593E-03  0.3405E-05  0.6810E-06
191             9017  682887  0.1228E-04  0.1325E-03  0.1325E-03  0.2650E-03  0.3512E-05  0.7023E-06
191             9017  677887  0.1271E-04  0.1374E-03  0.1336E-03  0.2709E-03  0.3624E-05  0.7247E-06
191             9017  672887  0.1323E-04  0.1277E-03  0.1349E-03  0.2626E-03  0.3747E-05  0.7493E-06
191             9017  667887  0.1372E-04  0.1323E-03  0.1362E-03  0.2684E-03  0.3872E-05  0.7745E-06
191             9017  662887  0.1425E-04  0.1372E-03  0.1374E-03  0.2746E-03  0.4007E-05  0.8014E-06
191             9017  657887  0.1480E-04  0.1425E-03  0.1388E-03  0.2813E-03  0.4153E-05  0.8307E-06
191             9083  654534  0.1519E-04  0.1460E-03  0.1403E-03  0.2864E-03  0.4244E-05  0.8488E-06
162            10368  401463  0.4626E-04  0.4561E-03  0.1904E-03  0.6465E-03  0.1249E-04  0.6922E-05
159             8258  397105  0.4470E-04  0.4489E-03  0.1889E-03  0.6378E-03  0.1219E-04  0.6366E-05
162             9920  398644  0.4574E-04  0.4577E-03  0.1903E-03  0.6480E-03  0.1238E-04  0.6442E-05
159             9017  392887  0.4468E-04  0.4443E-03  0.1906E-03  0.6349E-03  0.1227E-04  0.6788E-05
159             9439  388410  0.4445E-04  0.4395E-03  0.1927E-03  0.6322E-03  0.1235E-04  0.7129E-05
159            11165  383841  0.4486E-04  0.4307E-03  0.1955E-03  0.6262E-03  0.1265E-04  0.8216E-05
190            15953  820155  0.6488E-05  0.7223E-04  0.1127E-03  0.1850E-03  0.2037E-05  0.4074E-06
190            15028  814864  0.6584E-05  0.7332E-04  0.1129E-03  0.1862E-03  0.2062E-05  0.4124E-06
190            14334  810143  0.6697E-05  0.7448E-04  0.1135E-03  0.1880E-03  0.2089E-05  0.4178E-06
190            13690  805277  0.6817E-05  0.7407E-04  0.1150E-03  0.1891E-03  0.2101E-05  0.4201E-06
190            13347  800387  0.6941E-05  0.7535E-04  0.1156E-03  0.1909E-03  0.2138E-05  0.4275E-06
190            13347  795387  0.7069E-05  0.7666E-04  0.1160E-03  0.1927E-03  0.2175E-05  0.4350E-06
190            13347  790387  0.7223E-05  0.7825E-04  0.1169E-03  0.1951E-03  0.2220E-05  0.4441E-06
190            13347  785387  0.7382E-05  0.7977E-04  0.1177E-03  0.1975E-03  0.2260E-05  0.4520E-06
190            13347  780387  0.7524E-05  0.8123E-04  0.1182E-03  0.1994E-03  0.2296E-05  0.4592E-06
190            13347  775387  0.7697E-05  0.8293E-04  0.1191E-03  0.2021E-03  0.2338E-05  0.4675E-06
190            13347  770387  0.7852E-05  0.8448E-04  0.1197E-03  0.2042E-03  0.2376E-05  0.4752E-06
190            13347  765387  0.8037E-05  0.8635E-04  0.1205E-03  0.2069E-03  0.2420E-05  0.4841E-06
190            13347  760387  0.8208E-05  0.8809E-04  0.1211E-03  0.2091E-03  0.2461E-05  0.4922E-06
190            13347  755387  0.8404E-05  0.9003E-04  0.1218E-03  0.2118E-03  0.2506E-05  0.5012E-06
190            13347  750387  0.8583E-05  0.9183E-04  0.1221E-03  0.2139E-03  0.2549E-05  0.5099E-06
190            12671  746041  0.8746E-05  0.9349E-04  0.1226E-03  0.2161E-03  0.2589E-05  0.5177E-06
191            13175  702963  0.1106E-04  0.1179E-03  0.1307E-03  0.2486E-03  0.3176E-05  0.6352E-06
191            13347  700387  0.1125E-04  0.1196E-03  0.1323E-03  0.2519E-03  0.3212E-05  0.6424E-06
191            13347  695387  0.1162E-04  0.1236E-03  0.1334E-03  0.2570E-03  0.3305E-05  0.6610E-06
191            13347  690387  0.1200E-04  0.1278E-03  0.1344E-03  0.2622E-03  0.3403E-05  0.6806E-06
191            13347  685387  0.1241E-04  0.1325E-03  0.1354E-03  0.2679E-03  0.3511E-05  0.7022E-06
191            13347  680387  0.1285E-04  0.1374E-03  0.1364E-03  0.2738E-03  0.3622E-05  0.7245E-06
191            13347  675387  0.1333E-04  0.1426E-03  0.1376E-03  0.2802E-03  0.3740E-05  0.7481E-06
191            13347  670387  0.1388E-04  0.1325E-03  0.1388E-03  0.2713E-03  0.3867E-05  0.7733E-06
